n,threads,time_ms
30000000,1,8992.3699
30000000,1,8964.702
30000000,1,8980.2577
30000000,1,9385.4664
30000000,1,9084.5702
30000000,1,9000.6316
30000000,1,8981.8378
30000000,1,8998.6446
30000000,1,8950.5925
30000000,1,8977.6239
30000000,2,4911.7701
30000000,2,4985.6846
30000000,2,4944.8073
30000000,2,4984.9623
30000000,2,4961.5883
30000000,2,4377.558
30000000,2,4632.1969
30000000,2,4956.6676
30000000,2,4128.8461
30000000,2,4942.8448
30000000,3,2668.0846
30000000,3,3366.7836
30000000,3,3189.2385
30000000,3,3695.9668
30000000,3,3468.5364
30000000,3,4467.5772
30000000,3,3778.0605
30000000,3,3623.326
30000000,3,3846.2103
30000000,3,3323.69
30000000,4,4600.8744
30000000,4,5428.6191
30000000,4,3949.9201
30000000,4,3473.9806
30000000,4,5346.612
30000000,4,4341.3874
30000000,4,4690.3486
30000000,4,5830.3689
30000000,4,4565.3556
30000000,4,4446.933
30000000,5,4515.6027
30000000,5,6296.5517
30000000,5,4888.9107
30000000,5,4887.1565
30000000,5,4425.9914
30000000,5,4858.9302
30000000,5,4833.8083
30000000,5,3875.7002
30000000,5,4563.445
30000000,5,4368.4759
30000000,6,5321.6193
30000000,6,4432.1396
30000000,6,3759.1201
30000000,6,5293.1068
30000000,6,5530.3318
30000000,6,5964.8317
30000000,6,4845.1241
30000000,6,5477.0317
30000000,6,5266.4102
30000000,6,4864.0688
